DATA_ODCZYTU;ZUZYCIE_BIEZACE;JEDNOSTKA;DATA_POPRZEDNIEGO_ODCZYTU;ODCZYT_BIEZACY;ODCZYT_POPRZEDNI;STREFA_EC;ADRES_PPE;TYP_ODCZYTU;NUMER_LICZNIKA;PUNKT_POBORU;SKLADNIK
15.04.2022;121;kVarh;09.02.2022;918 kVarh;797 kVarh;II;MJR. HENRYKA SUCHARSKIEGO 56D, NOWY S¥CZ 33-300 Nowy S¹cz;Odczyt systemowy;70178654;5,90E+17;Energia bierna indukcyjna strefa II
1;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;DATA_ODCZYTU;ZUZYCIE_BIEZACE;JEDNOSTKA;DATA_POPRZEDNIEGO_ODCZYTU;ODCZYT_BIEZACY;ODCZYT_POPRZEDNI;STREFA_EC;ADRES_PPE
;;;;15.04.2022;121;kVarh;09.02.2022;918 kVarh;797 kVarh;II;MJR. HENRYKA SUCHARSKIEGO 56D, NOWY S¥CZ 33-300 Nowy S¹cz
